date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:46	185067/185067	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2004:56:28%20GMT	https://html.topylo.com/musicly-prev/musicly/index.html	C:/My%20Web%20Sites/Musicly/html.topylo.com/musicly-prev/musicly/index.html	(from )
12:33:47	1166/1166	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Feb%202023%2014:13:42%20GMT	https://html.topylo.com/robots.txt		(from )
12:33:47	4488/4488	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221188-6455ddfc-7c2cff9e0260e564;br%22	https://html.topylo.com/musicly-prev/musicly/assets/img/favicon.svg	C:/My%20Web%20Sites/Musicly/html.topylo.com/musicly-prev/musicly/assets/img/favicon.svg	(from https://html.topylo.com/musicly-prev/musicly/index.html)
12:33:47	194851/194851	---MCZ	200	added ('OK')	text/css	etag:W/%222f923-6455ddfc-f25032ce7bae8dc5;br%22	https://html.topylo.com/musicly-prev/musicly/assets/app/css/bootstrap.min.css	C:/My%20Web%20Sites/Musicly/html.topylo.com/musicly-prev/musicly/assets/app/css/bootstrap.min.css	(from https://html.topylo.com/musicly-prev/musicly/index.html)
12:33:47	2914/2914	---MCZ	200	added ('OK')	text/css	etag:W/%22b62-6455ddfc-178f91ce951d716e;br%22	https://html.topylo.com/musicly-prev/musicly/assets/app/css/meanmenu.min.css	C:/My%20Web%20Sites/Musicly/html.topylo.com/musicly-prev/musicly/assets/app/css/meanmenu.min.css	(from https://html.topylo.com/musicly-prev/musicly/index.html)
12:33:48	4007/4007	---MCZ	200	added ('OK')	text/css	etag:W/%22fa7-6455ddfc-20a39c784839605a;br%22	https://html.topylo.com/musicly-prev/musicly/assets/app/css/nice-select.css	C:/My%20Web%20Sites/Musicly/html.topylo.com/musicly-prev/musicly/assets/app/css/nice-select.css	(from https://html.topylo.com/musicly-prev/musicly/index.html)
12:33:48	20477/20477	---MCZ	200	added ('OK')	text/css	etag:W/%224ffd-6455ddfc-3015bc607a050801;br%22	https://html.topylo.com/musicly-prev/musicly/assets/app/css/swiper-bundle.min.css	C:/My%20Web%20Sites/Musicly/html.topylo.com/musicly-prev/musicly/assets/app/css/swiper-bundle.min.css	(from https://html.topylo.com/musicly-prev/musicly/index.html)
12:33:48	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%226f0-6455ddfc-e9831662de856b74;br%22	https://html.topylo.com/musicly-prev/musicly/assets/app/css/slick.css	C:/My%20Web%20Sites/Musicly/html.topylo.com/musicly-prev/musicly/assets/app/css/slick.css	(from https://html.topylo.com/musicly-prev/musicly/index.html)
12:33:48	30801/30801	---MCZ	200	added ('OK')	text/css	etag:W/%227851-6455ddfc-829fa315e2e86aa2;br%22	https://html.topylo.com/musicly-prev/musicly/assets/app/css/jquery-ui.min.css	C:/My%20Web%20Sites/Musicly/html.topylo.com/musicly-prev/musicly/assets/app/css/jquery-ui.min.css	(from https://html.topylo.com/musicly-prev/musicly/index.html)
12:33:49	1227/1227	---MCZ	200	added ('OK')	text/css	etag:W/%224cb-6455ddfc-4cbf82f080766c64;br%22	https://html.topylo.com/musicly-prev/musicly/assets/app/css/backtotop.css	C:/My%20Web%20Sites/Musicly/html.topylo.com/musicly-prev/musicly/assets/app/css/backtotop.css	(from https://html.topylo.com/musicly-prev/musicly/index.html)
